"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AY1","AY2","AZ1","AZ2","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","ME1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"42367099999","2005-05-24T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0113,1","Q01  00002PRCP06",,,,,"04,99,1,00,1,00,1,99999,9,03,1,01,1",,,,,"9,9,999,9,+002,1",,,"V020","SYN064AAXX  24004 42367 32996 43410 10296 20113 40040 80031 333 58002;","FM-12","10040,1","4","+0296,1","004000,1,N,1","340,1,N,0051,1"
"42367099999","2005-07-08T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+0267,1","Q01  00002PRCP06",,,,,"04,99,1,02,1,05,1,00800,1,00,1,01,1",,,,,"9,9,999,9,+002,1",,"05,1","V020","SYN070AAXX  08004 42367 31596 40000 10284 20267 49998 70500 82501 333 58002;","FM-12","09998,1","4","+0284,1","004000,1,N,1","999,9,C,0000,1"
"42367099999","2005-07-15T06:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"6,1,06,1","5,1,06,1",,,"VICX ","00420,1,9,N","+0250,1","Q01  00002PRCP06",,,,,"06,99,1,05,1,04,1,00450,1,03,1,01,1",,,,,"9,9,999,9,-002,1",,"02,1","V020","SYN070AAXX  15064 42367 31496 61810 10284 20250 40034 70265 85431 333 59002;","FM-12","10034,1","4","+0284,1","004000,1,N,1","180,1,N,0051,1"
"42367099999","2007-08-11T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","03600,1,9,N","+0253,1",,,,,,"05,99,1,02,1,07,1,00800,1,02,1,00,1",,"120,M,+0324,1",,,"9,9,999,9,-020,1",,,"V020","SYN070AAXX  11124 42367 32596 523// 10290 20253 40086 82720 333 10324 59020;","FM-12","10086,1","4","+0290,1","004000,1,N,1","999,9,9,9999,9"
"42367099999","2008-06-09T12:00:00","4","FM-12","VICX ","V020","09,0030,9,5",,,,,,"VICX ","03600,1,9,N","+0254,1",,,,,,"06,99,1,04,1,03,1,00800,1,02,1,02,1",,"120,M,+0294,1",,,"9,9,999,9,+016,1",,,"V020","SYN076AAXX  09124 42367 21596 63616 10268 20254 40080 84322 333 10294 58016 6003/;","FM-12","10080,1","4","+0268,1","004000,1,N,1","360,1,N,0082,1"
"42367099999","2008-10-07T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0222,1",,,,,,"02,99,1,00,1,00,1,99999,9,00,1,01,1",,"120,M,+0328,1",,,"9,9,999,9,+001,1",,,"V020","SYN070AAXX  07124 42367 32996 29902 10310 20222 40050 80001 333 10328 58001;","FM-12","10050,1","4","+0310,1","004000,1,N,1","999,9,V,0010,1"
"42367099999","2009-09-29T12:00:00","4","FM-12","VICX ","V020",,,"2,1,06,1","1,1,06,1",,,"VICX ","22000,1,9,N","+0259,1",,"02,1,+00750,1,06,1",,,,"04,99,1,03,1,04,1,00800,1,00,1,01,1",,"120,M,+0364,1",,,"9,9,999,9,-004,1",,"05,1","V020","SYN088AAXX  29124 42367 31595 43202 10326 20259 40014 70521 83401 333 10364 59004 82625 84075;","FM-12","10014,1","4","+0326,1","002000,1,N,1","320,1,N,0010,1"
"42367099999","2010-02-22T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0143,1",,,,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"120,M,+0294,1",,,"9,9,999,9,-020,1",,,"V020","SYN064AAXX  22124 42367 31996 41801 10270 20143 40103 333 10294 59020;","FM-12","10103,1","4","+0270,1","004000,1,N,1","180,1,N,0005,1"
"42367099999","2010-06-25T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0266,1",,,,,,"04,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0366,1",,,"9,9,999,9,+001,1",,,"V020","SYN064AAXX  25124 42367 31596 43201 10360 20266 49929 333 10366 58001;","FM-12","09929,1","4","+0360,1","004000,1,N,1","320,1,N,0005,1"
"42367099999","2010-06-27T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0254,1",,,,,,"04,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0420,1",,,"9,9,999,9,+000,1",,,"V020","SYN064AAXX  27124 42367 31596 43602 10412 20254 49926 333 10420 58000;","FM-12","09926,1","4","+0412,1","004000,1,N,1","360,1,N,0010,1"
"42367099999","2010-06-28T12:00:00","4","FM-12","VICX ","V020","09,0230,9,1",,,,,,"VICX ","99999,9,9,N","+0239,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0396,1",,,"9,9,999,9,+014,1",,,"V020","SYN070AAXX  28124 42367 21596 60000 10256 20239 49947 333 10396 58014 6023/;","FM-12","09947,1","4","+0256,1","004000,1,N,1","999,9,C,0000,1"
"42367099999","2010-06-29T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0267,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0396,1",,,"9,9,999,9,-012,1",,,"V020","SYN064AAXX  29124 42367 31596 60901 10390 20267 49929 333 10396 59012;","FM-12","09929,1","4","+0390,1","004000,1,N,1","090,1,N,0005,1"
"42367099999","2010-06-30T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0257,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0385,1",,,"9,9,999,9,+016,1",,,"V020","SYN064AAXX  30124 42367 32596 60902 10374 20257 49945 333 10385 58016;","FM-12","09945,1","4","+0374,1","004000,1,N,1","090,1,N,0010,1"
"42367099999","2010-07-01T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0263,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0370,1",,,"9,9,999,9,+011,1",,,"V020","SYN064AAXX  01124 42367 31596 60901 10360 20263 49957 333 10370 58011;","FM-12","09957,1","4","+0360,1","004000,1,N,1","090,1,N,0005,1"
"42367099999","2010-07-02T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0263,1",,,,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"120,M,+0358,1",,,"9,9,999,9,-013,1",,,"V020","SYN064AAXX  02124 42367 31996 41402 10354 20263 49945 333 10358 59013;","FM-12","09945,1","4","+0354,1","004000,1,N,1","140,1,N,0010,1"
"42367099999","2010-07-03T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0127,1",,,,,,"04,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0382,1",,,"9,9,999,9,+029,1",,,"V020","SYN064AAXX  03124 42367 32596 40904 10380 20127 49973 333 10382 58029;","FM-12","09973,1","4","+0380,1","004000,1,N,1","090,1,N,0021,1"
"42367099999","2010-07-04T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0230,1",,,,,,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,"120,M,+0386,1",,,"9,9,999,9,+011,1",,,"V020","SYN064AAXX  04124 42367 32996 61408 10376 20230 49984 333 10386 58011;","FM-12","09984,1","4","+0376,1","004000,1,N,1","140,1,N,0041,1"
"42367099999","2010-07-05T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0236,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0362,1",,,"9,9,999,9,-010,1",,,"V020","SYN064AAXX  05124 42367 31596 60902 10350 20236 49975 333 10362 59010;","FM-12","09975,1","4","+0350,1","004000,1,N,1","090,1,N,0010,1"
"42367099999","2010-07-06T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0248,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0332,1",,,"9,9,999,9,+007,1",,,"V020","SYN064AAXX  06124 42367 31596 61402 10294 20248 40005 333 10332 58007;","FM-12","10005,1","4","+0294,1","004000,1,N,1","140,1,N,0010,1"
"42367099999","2010-07-08T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0238,1",,,,,,"04,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0368,1",,,"9,9,999,9,-003,1",,,"V020","SYN064AAXX  08124 42367 31596 40502 10360 20238 49998 333 10368 59003;","FM-12","09998,1","4","+0360,1","004000,1,N,1","050,1,N,0010,1"
"42367099999","2010-07-09T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","22000,1,9,N","+0239,1",,,,,,"04,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0400,1",,,"9,9,999,9,-043,1",,,"V020","SYN064AAXX  09124 42367 31596 43201 10394 20239 49954 333 10400 59043;","FM-12","09954,1","4","+0394,1","004000,1,N,1","320,1,N,0005,1"
"42367099999","2010-07-10T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0267,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0364,1",,,"9,9,999,9,+001,1",,,"V020","SYN064AAXX  10124 42367 31596 63208 10352 20267 49957 333 10364 58001;","FM-12","09957,1","4","+0352,1","004000,1,N,1","320,1,N,0041,1"
"42367099999","2010-07-11T12:00:00","4","FM-12","VICX ","V020",,,,,,,"VICX ","99999,9,9,N","+0267,1",,,,,,"06,99,1,99,9,99,9,00800,1,99,9,99,9",,"120,M,+0320,1",,,"9,9,999,9,+006,1",,,"V020","SYN064AAXX  11123 42367 31596 62703 10314 20267 49965 333 10320 58006;","FM-12","09965,1","4","+0314,1","004000,1,N,1","270,1,N,0015,1"
